"PEAT_DEPTH","elev","aspect","slope","gdd","gsl","rain_ann","rain_daily","raindays_10mm","raindays_1mm","temp_mean","temp_min","temp_max"
27,5831,334.612093708903,0.315619480048918,685.213196,181.443616,1566.23686,4.29105989041096,60.399228,197.4265,5.14135866666667,2.16074333333333,8.106345
63,7198,100.698059061126,0.790400814662178,579.696164,168.782224,1230.5328,3.37132273972603,61.988956,203.962848,4.51228933333333,1.94864966666667,7.14532533333333
63,6421,112.72410215174,0.307084565981544,576.21044,168.755008,1289.426376,3.53267500273973,63.091388,205.037816,4.480349,1.902377,7.12006766666667
300,5801,115.676815681838,0.2808616314292,638.29897,176.04032,1489.48635,4.08078452054794,60.54126,199.98625,4.8699525,2.04584583333333,7.71140833333333
220,5878,319.43266846869,0.740988799718701,627.620482,174.705872,1441.71087,3.94989279452055,61.873476,201.33085,4.8033765,2.02656583333333,7.60509833333333
300,5866,121.487469364214,0.438597426845983,620.79899,173.93384,1436.54625,3.93574315068493,61.66602,201.57475,4.7647175,2.00900416666667,7.55029166666667
100,5712,332.248725826233,0.742727025141818,674.43794,180.18544,1543.7713,4.2295104109589,60.64122,198.1375,5.07824666666667,2.13548333333333,8.012975
150,5529,108.996654155488,0.572948034308421,654.19781,177.95016,1528.29015,4.18709630136986,59.80218,198.68725,4.96466583333333,2.0794125,7.85525833333333
75,6756,107.927919762009,0.176809887794517,573.35473,168.38888,1350.16715,3.69908808219178,62.39274,204.54385,4.4878225,1.89839583333333,7.14165833333333
12,6723,126.907296974418,0.992496366494893,562.02332,167.070184,1287.685698,3.52790602191781,63.485474,205.785218,4.4135145,1.871171,7.02647716666667
142,6481,95.9743232864814,0.40807817207855,566.8502,167.68372,1257.89889,3.44629832876712,63.28057,205.70049,4.42080583333333,1.87982166666667,7.03028583333333
148,5795,103.164717567315,0.648223557964185,628.11921,174.81576,1460.54955,4.00150561643836,61.13898,200.88145,4.80891583333333,2.02439583333333,7.61819166666667
